Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
22.10,3088.743,582.20,42.0624,32, -,3.811746
22.15,3091.35,582.00,43.31063,32, -,3.811746
22.20,3092.653,581.90,42.09143,32, -,3.811746
22.25,3093.958,581.80,40.87223,32, -,3.811746
22.30,3096.566,581.60,40.88674,32, -,3.811746
22.35,3097.87,581.50,40.90126,32, -,3.811746
22.40,3099.174,581.40,39.68206,32, -,3.811746
22.45,3100.479,581.30,38.46286,32, -,3.811746
22.50,3103.09,581.10,38.46286,32, -,3.811746
22.55,3104.395,581.00,38.47737,32, -,3.831194
22.60,3105.7,580.90,37.24366,32, -,3.831194
22.65,3108.312,580.70,37.24366,32, -,3.831194
22.70,3109.618,580.60,36.00994,32, -,3.831194
22.75,3110.924,580.50,36.02446,32, -,3.831194
22.80,3112.23,580.40,36.03897,32, -,3.831194
22.85,3113.537,580.30,34.80526,32, -,3.831194
22.90,3114.844,580.20,33.57154,32, -,3.831194
22.95,3117.458,580.00,34.83429,32, -,3.831194
23.00,3118.765,579.90,34.8488,32, -,3.831194
23.05,3120.073,579.80,33.61509,32, -,3.831194
23.10,3121.38,579.70,32.38137,32, -,3.831194
23.15,3122.688,579.60,32.39589,32, -,3.831194
23.20,3123.996,579.50,31.16217,32, -,3.831194
23.25,3125.304,579.40,31.16217,32, -,3.831194
23.30,3126.613,579.30,31.16217,32, -,3.831194
23.35,3127.921,579.20,29.92846,32, -,3.831194
23.40,3129.23,579.10,29.92846,32, -,3.831194
23.45,3130.539,579.00,29.92846,32, -,3.831194
23.50,3131.848,578.90,29.92846,32, -,3.811746
23.55,3133.158,578.80,28.69474,32, -,3.811746
23.60,3134.467,578.70,28.69474,32, -,3.811746
23.65,3134.467,578.70,27.44651,32, -,3.811746
23.70,3135.777,578.60,26.2128,32, -,3.811746
23.75,3137.087,578.50,26.2128,32, -,3.811746
23.80,3137.087,578.50,24.96457,32, -,3.811746
23.85,3138.396,578.40,24.96457,32, -,3.811746
23.90,3139.707,578.30,24.96457,32, -,3.811746
23.95,3141.017,578.20,24.96457,32, -,3.811746
24.00,3142.328,578.10,23.71634,32, -,3.811746
24.05,3143.639,578.00,23.71634,32, -,3.811746
24.10,3143.639,578.00,22.46811,32, -,3.811746
24.15,3144.949,577.90,22.46811,32, -,3.811746
24.20,3146.261,577.80,22.46811,32, -,3.811746
24.25,3147.572,577.70,22.46811,32, -,3.811746
24.30,3147.572,577.70,21.21988,32, -,3.811746
24.35,3148.884,577.60,21.21988,32, -,3.811746
24.40,3148.884,577.60,19.97166,32, -,3.811746
24.45,3150.195,577.50,19.97166,32, -,3.811746
24.50,3150.195,577.50,18.72343,32, -,3.811746
24.55,3151.507,577.40,18.72343,32, -,3.811746
24.60,3151.507,577.40,17.4752,32, -,3.811746
24.65,3141.017,578.20,6.241143,32, -,3.811746
24.70,3090.047,582.10,-42.30914,32, -,3.811746
24.75,3057.518,584.60,-74.53085,32, -,3.811746
24.80,3083.532,582.60,-51.0032,32, -,3.811746
24.85,3122.688,579.60,-13.716,32, -,3.811746
24.90,3139.707,578.30,1.248229,32, -,3.811746
24.95,3147.572,577.70,7.489371,32, -,3.811746
25.00,3150.195,577.50,8.737599,32, -,3.811746
25.05,3150.195,577.50,7.489371,32, -,3.811746
25.10,3150.195,577.50,6.241143,32, -,3.811746
