T,Alt,Veloc,Filt_Alt,FVeloc,LDA,LowV,Apogee,N-O,Drogue,Main,falt_m
17100,9496,160,9470.9,125.51,0,0,0,0,0,0,2886.73032
17150,9536,800,9483.92,260.41,0,0,0,0,0,0,2890.698816
17200,9526,-200,9492.33,168.32,0,0,0,0,0,0,2893.262184
17250,9568,840,9507.47,302.66,0,0,0,0,0,0,2897.876856
17300,9588,400,9523.57,322.13,0,0,0,0,0,0,2902.784136
17350,9562,-520,9531.26,153.71,0,0,0,0,0,0,2905.128048
17400,9564,40,9537.81,130.96,0,0,0,0,0,0,2907.124488
17450,9638,1480,9557.85,400.76,0,0,0,0,0,0,2913.23268
17500,9622,-320,9570.68,256.62,0,0,0,0,0,0,2917.143264
17550,9632,200,9582.94,245.29,0,0,0,0,0,0,2920.880112
17600,9664,640,9599.15,324.24,0,0,0,0,0,0,2925.82092
17650,9618,-920,9602.92,75.39,0,0,0,0,0,0,2926.970016
17700,9648,600,9611.94,180.31,0,0,0,0,0,0,2929.719312
17750,9678,600,9625.15,264.24,0,0,0,0,0,0,2933.74572
17800,9678,0,9635.72,211.41,0,0,0,0,0,0,2936.967456
17850,9690,240,9646.58,217.11,0,0,0,0,0,0,2940.277584
17900,9698,160,9656.86,205.7,0,0,0,0,0,0,2943.410928
17950,9716,360,9668.69,236.56,0,0,0,0,0,0,2947.016712
18000,9726,200,9680.15,229.24,0,0,0,0,0,0,2950.50972
18050,9726,0,9689.32,183.4,0,0,0,0,0,0,2953.304736
18100,9766,800,9704.66,306.72,0,0,0,0,0,0,2957.980368
18150,9740,-520,9711.73,141.37,0,0,0,0,0,0,2960.135304
18200,9776,720,9724.58,257.09,0,0,0,0,0,0,2964.051984
18250,9774,-40,9734.46,197.68,0,0,0,0,0,0,2967.063408
18300,9762,-240,9739.97,110.14,0,0,0,0,0,0,2968.742856
18350,9774,240,9746.78,136.11,0,0,0,0,0,0,2970.818544
18400,9782,160,9753.82,140.9,0,0,0,0,0,0,2972.964336
18450,9832,1000,9769.46,312.71,0,0,0,0,0,0,2977.731408
18500,9850,360,9785.57,322.17,0,0,0,0,0,0,2982.641736
18550,9858,160,9800.05,289.75,0,0,0,0,0,0,2987.05524
18600,9914,1120,9822.84,455.78,0,0,0,0,0,0,2994.001632
18650,9860,-1080,9830.27,148.63,0,0,0,0,0,0,2996.266296
18700,9846,-280,9833.42,62.91,0,0,0,0,0,0,2997.226416
18750,9890,880,9844.74,226.33,0,0,0,0,0,0,3000.676752
18800,9864,-520,9848.59,77.05,0,0,0,0,0,0,3001.850232
18850,9868,80,9852.47,77.66,0,0,0,0,0,0,3003.032856
18900,9882,280,9858.38,118.12,0,0,0,0,0,0,3004.834224
18950,9886,80,9863.9,110.49,0,0,0,0,0,0,3006.51672
19000,9932,920,9877.52,272.4,0,0,0,0,0,0,3010.668096
19050,9918,-280,9885.62,161.91,0,0,0,0,0,0,3013.136976
